#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
40,Dustin Garneau,DET,8,10,11,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,.300,2022
41,Joe Dunand,MIA,3,10,11,3,1,1,0,1,2,1,0,0,3,1,0,0,0,0,0,.300,2022
42,Royce Lewis,MIN,12,40,41,12,6,4,0,2,5,5,1,0,5,0,0,0,2,0,0,.300,2022
43,Jose Altuve,HOU,141,527,604,158,91,39,0,28,103,57,66,2,87,10,1,0,13,18,1,.300,2022
44,Steven Kwan,CLE,147,563,638,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,.298,2022
45,Manny Machado,SDP,150,578,644,172,102,37,1,32,100,102,63,10,133,1,2,0,12,9,1,.298,2022
46,Trea Turner,LAD,160,652,708,194,130,39,4,21,101,100,45,1,131,3,6,0,9,27,3,.298,2022
47,Andres Gimenez,CLE,146,491,557,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,.297,2022
48,Sean Bouchard,COL,27,74,97,22,13,6,0,3,9,11,21,0,25,1,1,0,1,0,0,.297,2022
49,Michael Harris II,ATL,114,414,441,123,74,27,3,19,75,64,21,0,107,5,0,1,7,20,2,.297,2022
50,Yandy Diaz,TBR,137,473,558,140,98,33,0,9,71,57,78,2,60,6,1,0,10,3,3,.296,2022
51,Oscar Gonzalez,CLE,91,362,382,107,69,27,0,11,39,43,15,2,75,3,2,0,6,1,2,.296,2022
52,Rafael Devers,BOS,141,555,614,164,94,42,1,27,84,88,50,11,114,6,3,0,14,3,1,.295,2022
53,Vinnie Pasquantino,KCR,72,258,298,76,56,10,0,10,25,26,35,1,34,3,2,0,5,1,0,.295,2022
54,Eloy Jimenez,CHW,84,292,327,86,58,12,0,16,40,54,28,0,72,3,4,0,8,0,0,.295,2022
55,Nolan Arenado,STL,148,557,620,163,90,42,1,30,73,103,52,3,72,7,4,0,15,5,3,.293,2022
56,Starling Marte,NYM,118,466,505,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,.292,2022
57,Jose Iglesias,COL,118,439,467,128,95,30,0,3,48,47,17,0,56,8,3,0,11,2,3,.292,2022
58,Lourdes Gurriel Jr.,TOR,121,453,493,132,94,32,1,5,52,52,31,1,83,6,2,0,11,3,4,.291,2022
59,Carlos Correa,MIN,136,522,590,152,105,24,1,22,70,64,61,2,121,3,4,0,18,0,1,.291,2022
60,Vaughn Grissom,ATL,41,141,156,41,30,6,0,5,24,18,11,1,34,3,1,0,0,5,2,.291,2022
61,Bo Bichette,TOR,159,652,697,189,121,43,1,24,91,93,41,0,155,2,2,0,21,13,8,.290,2022
62,Danny Mendick,CHW,31,97,106,28,20,4,1,3,22,15,7,0,23,1,0,1,2,1,0,.289,2022
63,Michael Brantley,HOU,64,243,277,70,50,14,1,5,28,26,31,2,30,1,1,1,1,1,1,.288,2022
64,Bryce Harper,PHI,99,370,426,106,59,28,1,18,63,65,46,9,87,3,7,0,13,11,4,.286,2022
65,Wynton Bernard,COL,12,42,42,12,11,1,0,0,9,3,0,0,8,0,0,0,1,3,1,.286,2022
66,Christian Arroyo,BOS,87,280,300,80,57,16,1,6,32,36,13,2,49,3,2,2,7,5,1,.286,2022
67,Edward Olivares,KCR,53,161,174,46,34,8,0,4,24,15,10,0,36,2,1,0,1,2,3,.286,2022
68,Dairon Blanco,KCR,5,7,7,2,2,0,0,0,1,2,0,0,4,0,0,0,0,1,0,.286,2022
69,Logan O'Hoppe,LAA,5,14,16,4,4,0,0,0,1,2,2,0,3,0,0,0,0,0,0,.286,2022
70,Gio Urshela,MIN,144,501,551,143,100,27,3,13,61,64,41,2,96,2,7,0,21,1,0,.285,2022
71,Alejandro Kirk,TOR,139,470,541,134,101,19,0,14,59,63,63,2,58,4,4,0,11,0,0,.285,2022
72,Luis Robert Jr.,CHW,98,380,401,108,78,18,0,12,54,56,17,1,77,3,1,0,6,11,3,.284,2022
73,Donovan Solano,CIN,80,278,304,79,59,16,0,4,22,24,19,1,61,5,2,0,5,0,0,.284,2022
74,Julio Rodriguez,SEA,132,511,560,145,89,25,3,28,84,75,40,4,145,8,1,0,7,25,7,.284,2022
75,Jake McCarthy,ARI,99,321,354,91,64,16,3,8,53,43,23,0,76,6,1,3,3,23,3,.283,2022
76,Mike Trout,LAA,119,438,499,124,54,28,2,40,85,80,54,8,139,6,1,0,6,1,0,.283,2022
77,Amed Rosario,CLE,153,637,670,180,134,26,9,11,86,71,25,0,111,4,4,0,19,18,4,.283,2022
78,Brendan Donovan,STL,126,391,468,110,83,21,1,5,64,45,60,1,70,14,2,1,8,2,3,.281,2022
79,Taylor Ward,LAA,135,495,564,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,.281,2022
80,Nico Hoerner,CHC,135,481,517,135,98,22,5,10,60,55,28,4,57,6,2,0,11,20,2,.281,2022
81,Alex Verdugo,BOS,152,593,644,166,115,39,1,11,75,74,42,2,86,3,6,0,14,1,3,.280,2022
82,Alec Bohm,PHI,152,586,631,164,124,24,3,13,79,72,31,1,110,4,10,0,18,2,3,.280,2022
83,Jose Ramirez,CLE,157,601,685,168,90,44,5,29,90,126,69,20,82,6,9,0,5,20,7,.280,2022
84,William Contreras,ATL,97,334,376,93,58,14,1,20,51,45,39,1,104,1,2,0,5,2,0,.278,2022
85,Justin Turner,LAD,128,468,532,130,81,36,0,13,61,81,50,1,89,6,8,0,13,3,0,.278,2022
86,Wander Franco,TBR,83,314,344,87,58,20,3,6,46,33,26,1,33,0,4,0,5,8,0,.277,2022
87,Jean Segura,PHI,98,354,387,98,79,9,0,10,45,33,25,1,58,7,1,0,16,13,6,.277,2022
88,Dansby Swanson,ATL,162,640,696,177,119,32,1,25,99,96,49,0,182,3,4,0,12,18,7,.277,2022
89,Stone Garrett,ARI,27,76,84,21,9,8,0,4,13,10,3,0,27,1,1,0,1,3,1,.276,2022
90,J.T. Realmuto,PHI,139,504,562,139,86,26,5,22,75,84,41,1,119,12,5,0,7,21,1,.276,2022
91,Gavin Lux,LAD,129,421,471,116,83,20,7,6,66,42,47,0,95,0,3,0,3,7,2,.276,2022
92,Esteban Quiroz,CHC,14,40,47,11,11,0,0,0,3,3,4,0,9,2,0,1,0,1,1,.275,2022
93,Luis Garcia Jr.,WSN,93,360,377,99,67,23,2,7,29,45,11,1,84,1,4,1,5,3,4,.275,2022
94,Kevin Newman,PIT,78,288,309,79,57,18,2,2,31,24,16,0,48,2,1,2,6,8,2,.274,2022
95,Vladimir Guerrero Jr.,TOR,160,638,706,175,108,35,0,32,90,97,58,6,116,6,4,0,26,8,3,.274,2022
96,Brandon Nimmo,NYM,151,580,673,159,106,30,7,16,102,64,71,0,116,16,3,3,9,3,2,.274,2022
97,Ty France,SEA,140,551,613,151,103,27,1,20,65,83,35,3,94,21,5,0,18,0,0,.274,2022
98,J.D. Martinez,BOS,139,533,596,146,86,43,1,16,76,62,52,1,145,5,5,0,20,0,0,.274,2022
99,Christian Vazquez,- - -,119,398,426,109,77,23,0,9,41,52,22,0,69,3,3,0,10,1,4,.274,2022
100,Manuel Margot,TBR,89,336,363,92,68,18,2,4,36,47,24,1,68,2,1,0,7,7,3,.274,2022
101,Joc Pederson,SFG,134,380,433,104,59,19,3,23,57,70,42,3,100,7,4,0,5,3,2,.274,2022
102,Austin Riley,ATL,159,615,693,168,89,39,2,38,90,93,57,1,168,17,4,0,13,2,0,.273,2022
103,Shohei Ohtani,LAA,157,586,666,160,90,30,6,34,90,95,72,14,161,5,3,0,6,11,9,.273,2022
104,Luis Guillorme,NYM,102,297,335,81,66,12,1,2,33,17,34,1,46,2,0,2,15,1,0,.273,2022
105,Nick Gordon,MIN,138,405,443,110,69,28,4,9,45,50,19,1,105,10,6,3,8,6,4,.272,2022
106,Harold Castro,DET,120,420,443,114,84,21,2,7,37,47,17,1,79,1,2,3,5,0,1,.271,2022
107,Pete Alonso,NYM,160,597,685,162,95,27,0,40,95,131,67,16,128,12,9,0,17,5,1,.271,2022
108,Alan Trejo,COL,35,118,125,32,22,6,0,4,15,17,5,0,31,2,0,0,3,1,2,.271,2022
109,Andrew Vaughn,CHW,134,510,555,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,.271,2022
110,Ian Happ,CHC,158,573,641,155,94,42,2,17,72,72,58,4,149,6,4,0,11,9,4,.271,2022
111,Albert Pujols,STL,109,307,351,83,45,14,0,24,42,68,28,1,55,10,6,0,13,1,2,.270,2022
112,Francisco Lindor,NYM,161,630,706,170,114,25,5,26,98,107,59,2,133,10,7,0,11,16,6,.270,2022
113,Seby Zavala,CHW,61,178,205,48,32,14,0,2,22,21,19,0,64,3,2,3,1,0,0,.270,2022
114,Mookie Betts,LAD,142,572,639,154,76,40,3,35,117,82,55,0,104,8,4,0,8,12,2,.269,2022
115,Reese McGuire,- - -,89,249,274,67,49,14,1,3,25,22,12,0,56,3,3,6,6,1,0,.269,2022
116,Yadiel Hernandez,WSN,94,305,327,82,57,16,0,9,30,41,19,0,74,1,2,0,9,2,1,.269,2022
117,Josh Rojas,ARI,125,443,510,119,84,25,1,9,66,56,55,2,98,2,5,5,7,23,3,.269,2022
118,Eric Hosmer,- - -,104,380,419,102,75,19,0,8,38,44,37,5,64,1,1,0,12,0,0,.268,2022
119,Jose Miranda,MIN,125,444,483,119,79,25,0,15,45,66,28,0,91,10,1,0,19,1,1,.268,2022
120,Travis d'Arnaud,ATL,107,396,426,106,62,25,1,18,61,60,19,0,90,11,0,0,12,0,0,.268,2022
121,Santiago Espinal,TOR,135,449,491,120,88,25,0,7,51,51,36,1,68,2,3,1,12,6,6,.267,2022
122,George Springer,TOR,133,513,583,137,86,22,4,25,89,76,54,1,100,7,5,0,7,14,2,.267,2022
123,Corey Dickerson,STL,97,281,297,75,51,17,1,6,28,36,12,1,48,2,2,0,4,0,0,.267,2022
124,Pablo Reyes,MIL,6,15,16,4,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,.267,2022
125,Cody Thomas,OAK,10,30,32,8,8,0,0,0,1,0,2,0,12,0,0,0,0,0,0,.267,2022
126,Teoscar Hernandez,TOR,131,499,535,133,72,35,1,25,71,77,34,0,152,2,0,0,18,6,3,.267,2022
127,Josh Bell,- - -,156,552,647,147,98,29,3,17,78,71,81,4,102,5,6,0,22,0,1,.266,2022
128,Mark Canha,NYM,140,462,542,123,86,24,0,13,71,61,48,1,97,28,4,0,3,3,1,.266,2022
129,Brendan Rodgers,COL,137,527,581,140,94,30,3,13,72,63,46,0,101,3,5,0,25,0,0,.266,2022
130,Ronald Acuna Jr.,ATL,119,467,533,124,85,24,0,15,71,50,53,4,126,10,3,0,8,29,11,.266,2022
131,Jason Vosler,SFG,36,98,111,26,15,6,1,4,14,12,10,1,29,2,1,0,3,1,1,.265,2022
132,Jordan Diaz,OAK,15,49,51,13,10,3,0,0,3,1,2,0,7,0,0,0,1,0,0,.265,2022
133,Raimel Tapia,TOR,128,411,433,109,79,20,3,7,47,52,16,0,81,0,1,3,12,8,2,.265,2022
134,Tommy Edman,STL,153,577,630,153,105,31,4,13,95,57,46,2,111,5,1,1,10,32,3,.265,2022
135,Zach Reks,TEX,16,34,34,9,8,1,0,0,3,3,0,0,10,0,0,0,0,0,1,.265,2022
136,Bubba Thompson,TEX,55,170,181,45,39,5,0,1,18,9,7,0,56,2,0,2,2,18,3,.265,2022
137,Charlie Blackmon,COL,135,530,577,140,96,22,6,16,60,78,32,4,109,8,3,4,10,4,1,.264,2022
138,Nomar Mazara,SDP,55,159,171,42,32,8,0,2,16,18,10,0,40,2,0,0,3,0,0,.264,2022
139,Garrett Stubbs,PHI,50,106,121,28,18,4,1,5,19,16,14,0,30,0,0,1,2,2,0,.264,2022
140,Nate Eaton,KCR,44,106,122,28,20,4,3,1,16,12,10,0,30,2,3,1,2,11,1,.264,2022
141,Luis Rengifo,LAA,127,489,511,129,86,22,4,17,45,52,17,0,79,4,0,1,11,6,2,.264,2022
142,Austin Slater,SFG,125,277,325,73,49,15,2,7,49,34,40,0,89,6,2,0,9,12,1,.264,2022
143,Nick Castellanos,PHI,136,524,558,138,98,27,0,13,56,62,29,0,130,3,2,0,15,7,1,.263,2022
144,Ildemaro Vargas,- - -,63,209,222,55,37,13,1,4,19,23,8,0,23,3,1,1,6,3,1,.263,2022
145,Jared Young,CHC,6,19,22,5,3,2,0,0,2,0,3,0,7,0,0,0,0,1,0,.263,2022
146,Charles Leblanc,MIA,48,156,169,41,27,10,0,4,18,11,12,0,53,1,0,0,0,4,2,.263,2022
147,Randy Arozarena,TBR,153,586,645,154,90,41,3,20,72,89,46,2,156,11,2,0,17,32,12,.263,2022
148,Brandon Drury,- - -,138,518,568,136,75,31,2,28,87,87,38,0,126,8,4,0,8,2,3,.263,2022
149,Jordan Groshans,MIA,17,61,65,16,15,0,0,1,9,2,4,0,13,0,0,0,2,0,0,.262,2022
150,Alejo Lopez,CIN,61,145,156,38,31,5,1,1,15,10,9,1,21,2,0,0,1,3,1,.262,2022
151,Bryan Reynolds,PIT,145,542,614,142,92,19,4,27,74,62,56,6,141,14,2,0,13,7,3,.262,2022
152,Seiya Suzuki,CHC,111,397,446,104,66,22,2,14,54,46,42,3,110,4,3,0,8,9,5,.262,2022
153,DJ LeMahieu,NYY,125,467,541,122,92,18,0,12,74,46,67,0,71,4,2,1,12,4,3,.261,2022
154,Leody Taveras,TEX,99,314,341,82,61,14,2,5,39,34,21,0,88,2,3,1,2,11,5,.261,2022
155,Garrett Cooper,MIA,119,414,469,108,64,33,2,9,37,50,40,0,119,10,5,0,6,0,0,.261,2022
156,Isiah Kiner-Falefa,NYY,142,483,531,126,102,20,0,4,66,48,35,2,72,5,5,3,13,22,4,.261,2022
157,Wil Myers,SDP,77,261,286,68,46,15,0,7,29,41,21,1,86,1,3,0,7,2,1,.261,2022
158,Danny Jansen,TOR,72,215,248,56,31,10,0,15,34,44,25,1,44,3,5,0,1,1,0,.260,2022
159,Thairo Estrada,SFG,140,488,541,127,89,22,2,14,71,62,33,0,89,14,5,1,10,21,6,.260,2022
160,Will Smith,LAD,137,508,578,132,79,26,3,24,68,87,56,4,96,10,4,0,11,1,0,.260,2022
161,Corbin Carroll,ARI,32,104,115,27,12,9,2,4,13,14,8,0,31,3,0,0,1,2,1,.260,2022
162,Joey Wendle,MIA,101,347,371,90,62,24,1,3,27,32,15,0,50,5,3,1,7,12,3,.259,2022
163,Austin Wynns,SFG,66,162,177,42,32,7,0,3,14,21,10,0,38,3,1,1,9,0,0,.259,2022
164,Jake Fraley,CIN,68,216,247,56,35,9,0,12,33,28,26,1,54,3,2,0,1,4,1,.259,2022
165,Alex Bregman,HOU,155,548,656,142,81,38,0,23,93,93,87,1,77,11,10,0,18,1,2,.259,2022
166,Randal Grichuk,COL,141,506,538,131,88,21,3,19,60,73,24,0,127,6,2,0,12,4,0,.259,2022
167,David Bote,CHC,41,116,127,30,18,8,0,4,15,12,6,0,45,4,1,0,3,1,0,.259,2022
168,Gunnar Henderson,BAL,34,116,132,30,18,7,1,4,12,18,16,1,34,0,0,0,1,1,1,.259,2022
169,Terrin Vavra,BAL,40,89,103,23,19,2,1,1,14,12,12,0,19,0,2,0,2,0,1,.258,2022
170,Cedric Mullins,BAL,156,608,672,157,105,32,4,16,89,64,47,2,126,9,5,1,4,34,10,.258,2022
171,Jose Azocar,SDP,98,202,216,52,40,9,3,0,24,10,12,0,44,0,1,1,6,5,6,.257,2022
172,C.J. Cron,COL,150,575,632,148,88,28,3,29,79,102,43,6,164,8,5,0,16,0,0,.257,2022
173,Kyle Tucker,HOU,150,544,609,140,81,28,1,30,71,107,59,4,95,1,2,0,11,25,4,.257,2022
174,Abraham Almonte,BOS,15,35,37,9,6,2,0,1,7,2,1,0,12,1,0,0,1,1,0,.257,2022
175,Gleyber Torres,NYY,140,526,572,135,82,28,1,24,73,76,39,2,129,3,3,1,12,10,5,.257,2022
176,Josh Harrison,CHW,119,386,425,99,71,19,2,7,50,27,21,0,71,14,2,2,9,2,1,.256,2022
177,Josh Naylor,CLE,122,449,498,115,67,28,0,20,47,79,38,4,80,6,5,0,13,6,1,.256,2022
178,Trayce Thompson,- - -,80,219,255,56,28,14,1,13,36,41,32,0,93,2,2,0,2,4,1,.256,2022
179,Sam Haggerty,SEA,83,176,201,45,30,9,1,5,29,23,18,3,53,4,2,1,4,13,1,.256,2022
180,Mike Brosseau,MIL,70,141,160,36,25,5,0,6,15,23,14,0,48,5,0,0,0,2,0,.255,2022
181,Hunter Renfroe,MIL,125,474,522,121,68,23,1,29,62,72,39,1,121,4,3,2,11,1,1,.255,2022
182,Kyle Farmer,CIN,145,526,583,134,94,25,1,14,58,78,33,0,99,16,6,2,20,4,3,.255,2022
183,David Fletcher,LAA,61,216,228,55,43,9,1,2,20,17,7,0,16,3,0,2,6,1,0,.255,2022
184,Miguel Cabrera,DET,112,397,433,101,86,10,0,5,25,43,28,3,101,3,5,0,11,1,0,.254,2022
185,Luis Gonzalez,SFG,98,311,350,79,56,17,2,4,31,36,30,1,75,4,5,0,5,10,2,.254,2022
186,Victor Reyes,DET,92,315,336,80,55,19,3,3,27,34,13,0,77,4,4,0,7,2,2,.254,2022
187,Salvador Perez,KCR,114,445,473,113,66,23,1,23,48,76,18,2,109,7,3,0,9,0,0,.254,2022
188,Eric Haase,DET,110,323,351,82,50,17,1,14,41,44,24,1,97,1,3,0,9,0,0,.254,2022
189,Bobby Witt Jr.,KCR,150,591,632,150,93,31,6,20,82,80,30,2,135,6,5,0,12,30,7,.254,2022
190,Adley Rutschman,BAL,113,398,470,101,52,35,1,13,70,42,65,0,86,4,3,0,4,4,0,.254,2022
191,Michael A. Taylor,KCR,124,414,456,105,83,10,3,9,49,43,35,0,109,2,3,2,6,4,2,.254,2022
192,Jazz Chisholm Jr.,MIA,60,213,241,54,26,10,4,14,39,45,21,0,66,3,3,0,0,12,5,.254,2022
193,Jeremy Pena,HOU,136,521,558,132,88,20,2,22,72,63,22,0,135,6,5,1,5,11,2,.253,2022
194,Juan Yepez,STL,76,253,274,64,39,13,0,12,27,30,16,0,61,1,4,0,6,0,0,.253,2022
195,Kyle Stowers,BAL,34,91,98,23,15,4,1,3,11,11,5,0,29,2,0,0,3,0,0,.253,2022
196,Riley Greene,DET,93,376,418,95,68,18,4,5,46,42,36,0,120,3,3,0,8,1,4,.253,2022
197,Kerry Carpenter,DET,31,103,113,26,15,4,1,6,16,10,6,0,32,3,1,0,0,0,0,.252,2022
198,Bryan De La Cruz,MIA,115,329,355,83,50,20,0,13,38,43,19,0,90,2,4,0,8,4,0,.252,2022
199,Charlie Culberson,TEX,70,115,124,29,21,6,0,2,19,12,5,0,31,0,0,4,5,2,3,.252,2022
200,Christian Yelich,MIL,154,575,671,145,102,25,4,14,99,57,88,5,162,5,2,1,9,19,3,.252,2022
201,Christian Bethancourt,- - -,101,318,333,80,52,17,0,11,39,34,12,0,80,2,0,1,6,5,1,.252,2022
202,Ha-seong Kim,SDP,150,517,582,130,87,29,3,11,58,59,51,0,100,7,4,3,9,12,2,.251,2022
203,Keibert Ruiz,WSN,112,394,433,99,70,22,0,7,33,36,30,0,50,6,2,1,9,6,1,.251,2022
204,Kolten Wong,MIL,134,430,497,108,65,24,4,15,65,47,46,2,88,14,5,2,5,17,6,.251,2022
205,Austin Nola,SDP,110,347,397,87,68,15,0,4,40,40,34,1,60,6,9,1,5,2,1,.251,2022
206,David Peralta,- - -,134,439,490,110,65,30,3,12,39,59,41,5,114,4,6,0,8,1,3,.251,2022
207,Austin Hays,BAL,145,535,582,134,81,35,2,16,66,60,34,0,114,10,3,0,11,2,4,.250,2022
208,Ryan Mountcastle,BAL,145,555,609,139,88,28,1,22,62,85,43,1,154,4,7,0,12,4,1,.250,2022
209,Whit Merrifield,- - -,139,504,550,126,86,28,1,11,70,58,38,0,85,0,8,0,11,16,5,.250,2022
210,Matt Duffy,LAA,77,228,247,57,47,8,0,2,14,16,17,0,50,2,0,0,6,0,0,.250,2022
211,Anthony Alford,PIT,2,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.250,2022
212,Austin Meadows,DET,36,128,147,32,24,6,2,0,9,11,16,0,17,3,0,0,2,0,1,.250,2022
213,Alex Jackson,MIL,5,12,12,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,.250,2022
214,Narciso Crook,CHC,4,8,9,2,1,1,0,0,1,2,0,0,3,0,1,0,1,0,0,.250,2022
215,JT Riddle,CIN,2,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.250,2022
216,Harrison Bader,- - -,86,292,313,73,55,10,3,5,38,30,15,0,62,4,2,0,4,17,3,.250,2022
217,Darick Hall,PHI,42,136,142,34,16,8,1,9,19,16,5,0,44,1,0,0,3,0,0,.250,2022
218,Mario Feliciano,MIL,2,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,.250,2022
219,Alex Kirilloff,MIN,45,144,156,36,26,7,0,3,14,21,5,0,36,4,2,0,5,0,0,.250,2022
220,Nick Maton,PHI,35,72,85,18,10,2,1,5,13,17,10,0,29,1,2,0,0,0,0,.250,2022
221,Luis Campusano,SDP,16,48,50,12,10,1,0,1,4,5,1,0,11,0,1,0,2,0,0,.250,2022
222,Jake Burger,CHW,51,168,183,42,24,9,1,8,20,26,10,1,56,3,1,1,7,0,0,.250,2022
223,Adolis Garcia,TEX,156,605,657,151,85,34,5,27,88,101,40,2,183,6,6,0,9,25,6,.250,2022
224,Sean Murphy,OAK,148,537,612,134,77,37,2,18,67,66,56,2,124,13,5,0,14,1,0,.250,2022
225,Nick Madrigal,CHC,59,209,228,52,45,7,0,0,19,7,14,0,27,3,0,2,6,3,1,.249,2022
226,Jonathan India,CIN,103,386,431,96,68,16,2,10,48,41,31,1,94,14,0,0,5,3,4,.249,2022
227,Elvis Andrus,- - -,149,535,577,133,84,32,0,17,66,58,39,0,92,3,0,0,11,18,4,.249,2022
228,J.D. Davis,- - -,115,318,365,79,50,16,1,12,46,35,39,1,122,6,2,0,13,1,1,.248,2022
229,Cesar Hernandez,WSN,147,560,617,139,106,28,4,1,64,34,45,0,114,7,2,3,9,10,4,.248,2022
230,Ramon Urias,BAL,118,403,445,100,66,17,1,16,50,51,30,1,98,5,4,3,7,1,0,.248,2022
231,Marcus Semien,TEX,161,657,724,163,101,31,5,26,101,83,53,0,120,4,10,0,7,25,8,.248,2022
232,Jose Trevino,NYY,115,335,353,83,59,12,1,11,39,43,15,0,62,2,1,0,5,2,1,.248,2022
233,Stuart Fairchild,- - -,46,97,110,24,14,4,1,5,14,6,8,0,34,5,0,0,1,0,2,.247,2022
234,Ozzie Albies,ATL,64,247,269,61,37,16,0,8,36,35,16,0,47,2,4,0,0,3,5,.247,2022
235,Mark Mathias,- - -,30,81,91,20,11,3,0,6,13,20,9,0,30,0,1,0,0,3,0,.247,2022
236,Oswaldo Cabrera,NYY,44,154,171,38,23,8,1,6,21,19,15,0,44,0,1,1,1,3,2,.247,2022
